/usr/sbin/mysqld, Version: 8.0.27 (MySQL Community Server - GPL). started with:
Tcp port: 3306  Unix socket: /var/run/mysqld/mysqld.sock
Time                 Id Command    Argument
2021-12-30T05:40:48.693097Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:48.693577Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("41","41","65908")
2021-12-30T05:40:48.749906Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:48.750432Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("42","42","34704")
2021-12-30T05:40:48.753673Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:48.754218Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("43","43","43652")
2021-12-30T05:40:48.757647Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:48.758184Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("44","44","31004")
2021-12-30T05:40:48.792193Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:48.792927Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("45","45","22400")
2021-12-30T05:40:48.801866Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:48.802369Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("46","46","23859")
2021-12-30T05:40:48.806935Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:48.807593Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("47","47","1476")
2021-12-30T05:40:48.819164Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:48.819672Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("48","48","258")
2021-12-30T05:40:48.838893Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:48.839345Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("49","49","85132")
